20733.00 CONN 17 6 up
20821.00 CONN 16 26 up
20826.00 CONN 13 36 up
20868.00 CONN 17 32 up
20943.00 CONN 31 37 up
20943.00 CONN 31 4 up
20944.00 CONN 13 23 up
20946.00 CONN 8 23 up
21055.00 CONN 31 28 up
21055.00 CONN 31 40 up
21055.00 CONN 31 34 up
21071.00 CONN 8 13 up
21079.00 CONN 26 16 up
21110.00 CONN 37 24 up
21120.00 CONN 6 28 up
21158.00 CONN 4 24 up
21165.00 CONN 31 2 up
21165.00 CONN 31 2 down
21166.00 CONN 31 7 up
21166.00 CONN 31 18 up
21166.00 CONN 31 37 down
21166.00 CONN 31 4 down
21166.00 CONN 31 28 down
21166.00 CONN 31 40 down
21166.00 CONN 31 7 down
21166.00 CONN 31 18 down
21175.00 CONN 32 40 up
21193.00 CONN 26 24 up
21195.00 CONN 8 36 up
21197.00 CONN 13 8 up
21242.00 CONN 24 7 up
21246.00 CONN 40 24 up
21280.00 CONN 31 3 up
21280.00 CONN 31 27 up
21280.00 CONN 31 21 up
21280.00 CONN 31 3 down
21280.00 CONN 31 27 down
21287.00 CONN 31 33 up
21287.00 CONN 31 32 up
21287.00 CONN 31 35 up
21287.00 CONN 31 34 down
21287.00 CONN 31 21 down
21287.00 CONN 31 33 down
21287.00 CONN 31 32 down
21287.00 CONN 31 35 down
21294.00 CONN 35 24 up
21297.00 CONN 32 6 up
21301.00 CONN 39 24 up
21302.00 CONN 26 18 up
21316.00 CONN 21 34 up
21354.00 CONN 24 3 up
21367.00 CONN 27 26 up
21374.00 CONN 40 18 up
21374.00 CONN 40 6 up
21395.00 CONN 38 26 up
21408.00 CONN 31 29 up
21412.00 CONN 32 38 up
21413.00 CONN 9 36 up
21413.00 CONN 9 23 up
21420.00 CONN 9 34 up
21420.00 CONN 39 33 up
21420.00 CONN 39 0 up
21430.00 CONN 21 9 up
21445.00 CONN 23 9 up
21448.00 CONN 34 21 up
21450.00 CONN 15 35 up
21452.00 CONN 34 7 up
21458.00 CONN 37 34 up
21458.00 CONN 37 36 up
21459.00 CONN 6 17 up
21462.00 CONN 17 40 up
21465.00 CONN 24 39 up
21465.00 CONN 24 36 up
21483.00 CONN 7 23 up
21483.00 CONN 7 36 up
21483.00 CONN 7 8 up
21493.00 CONN 19 32 up
21504.00 CONN 38 3 up
21504.00 CONN 38 15 up
21526.00 CONN 32 3 up
21526.00 CONN 32 19 up
21529.00 CONN 9 0 up
21540.00 CONN 28 10 up
21540.00 CONN 28 18 up
21540.00 CONN 39 40 up
21540.00 CONN 39 4 up
21544.00 CONN 21 0 up
21552.00 CONN 26 3 up
21558.00 CONN 26 38 up
21559.00 CONN 13 21 up
21559.00 CONN 13 9 up
21561.00 CONN 10 3 up
21564.00 CONN 26 19 up
21564.00 CONN 34 36 up
21564.00 CONN 34 23 up
21568.00 CONN 6 18 up
21570.00 CONN 15 3 up
21572.00 CONN 23 34 up
21574.00 CONN 0 39 up
21574.00 CONN 0 33 up
21578.00 CONN 0 28 up
21578.00 CONN 0 40 up
21578.00 CONN 18 28 up
21579.00 CONN 24 18 up
21582.00 CONN 18 24 up
21582.00 CONN 18 3 up
21583.00 CONN 37 40 up
21592.00 CONN 27 3 up
21593.00 CONN 8 21 up
21595.00 CONN 7 4 up
21599.00 CONN 3 18 up
21601.00 CONN 3 32 up
21601.00 CONN 3 38 up
21601.00 CONN 3 6 up
21601.00 CONN 3 32 down
21603.00 CONN 40 22 up
21603.00 CONN 40 19 up
21603.00 CONN 40 3 up
21603.00 CONN 40 18 down
21603.00 CONN 40 22 down
21603.00 CONN 40 19 down
21613.00 CONN 19 38 up
21613.00 CONN 19 35 up
21613.00 CONN 19 40 up
21613.00 CONN 19 10 up
21613.00 CONN 19 38 down
21613.00 CONN 19 35 down
21613.00 CONN 19 40 down
21624.00 CONN 38 16 up
21624.00 CONN 38 32 up
21624.00 CONN 38 18 up
21624.00 CONN 38 16 down
21624.00 CONN 38 32 down
21627.00 CONN 4 0 up
